station,state,city,latitude,longitude
"Secretariat, Amaravati - APPCB",Andhra_Pradesh,Amaravati,16.5150833,80.5181667
"Gulzarpet, Anantapur - APPCB",Andhra_Pradesh,Anantapur,14.675886,77.593027
"Gangineni Cheruvu, Chittoor - APPCB",Andhra_Pradesh,Chittoor,13.20488,79.097889
"Yerramukkapalli, Kadapa - APPCB",Andhra_Pradesh,Kadapa,14.465052,78.824187
"Anand Kala Kshetram, Rajamahendravaram - APPCB",Andhra_Pradesh,Rajamahendravaram,16.9872867,81.7363176
"Toll Gate, Tirumala - APPCB",Andhra_Pradesh,Tirumala,13.67,79.35
"Vaikuntapuram, Tirupati - APPCB",Andhra_Pradesh,Tirupati,13.615387,79.40923
"HB Colony, Vijayawada - APPCB",Andhra_Pradesh,Vijayawada,16.536107,80.594233
"Kanuru, Vijayawada - APPCB",Andhra_Pradesh,Vijayawada,16.486692,80.699436
"Rajiv Gandhi Park, Vijayawada - APPCB",Andhra_Pradesh,Vijayawada,16.509717,80.612222
"Rajiv Nagar, Vijayawada - APPCB",Andhra_Pradesh,Vijayawada,16.554731,80.64911
"GVM Corporation, Visakhapatnam - APPCB",Andhra_Pradesh,Visakhapatnam,17.72,83.3
"Naharlagun, Naharlagun - APSPCB",Arunachal_Pradesh,Naharlagun,27.103358,93.679645
"Central Academy for SFS, Byrnihat - PCBA",Assam,Byrnihat,26.071318,91.87488
"LGBI Airport, Guwahati - PCBA",Assam,Guwahati,26.10887,91.589544
"Pan Bazaar, Guwahati - PCBA",Assam,Guwahati,26.1875,91.744194
"Railway Colony, Guwahati - PCBA",Assam,Guwahati,26.181742,91.78063
"Christianpatty, Nagaon - PCBA",Assam,Nagaon,26.349082,92.68449
"Bata Chowk, Nalbari - PCBA",Assam,Nalbari,26.446912,91.439057
"Tarapur, Silchar - PCBA",Assam,Silchar,24.82827,92.79525
"Girls College, Sivasagar - PCBA",Assam,Sivasagar,26.987634,94.636574
"Kharahiya Basti, Araria - BSPCB",Bihar,Araria,26.146529,87.454184
"New DM Office, Arrah - BSPCB",Bihar,Arrah,25.5626095,84.663264
"Gurdeo Nagar, Aurangabad - BSPCB",Bihar,Aurangabad,24.75746,84.366208
"Lohiyanagar, Begusarai - BSPCB",Bihar,Begusarai,25.42742023,86.13886079
"Kamalnath Nagar, Bettiah - BSPCB",Bihar,Bettiah,26.80365,84.51954
"DM Office_Kachari Chowk, Bhagalpur - BSPCB",Bihar,Bhagalpur,25.251013,86.989001
"Mayaganj, Bhagalpur - BSPCB",Bihar,Bhagalpur,25.265194,87.012947
"D M Colony, Bihar Sharif - BSPCB",Bihar,Bihar Sharif,25.204762,85.51496
"Charitra Van, Buxar - BSPCB",Bihar,Buxar,25.56752,83.966379
"Darshan Nagar, Chhapra - BSPCB",Bihar,Chhapra,25.7808257,84.7446768
"Collectorate, Gaya - BSPCB",Bihar,Gaya,24.7955,84.9994
"Kareemganj, Gaya - BSPCB",Bihar,Gaya,24.792403,84.992416
"SFTI Kusdihra, Gaya - BSPCB",Bihar,Gaya,24.762518,84.982348
"Industrial Area, Hajipur - BSPCB",Bihar,Hajipur,25.697189,85.2459
"Mirchaibari, Katihar - BSPCB",Bihar,Katihar,25.560083,87.553265
"SDM Office_Khagra, Kishanganj - BSPCB",Bihar,Kishanganj,26.0881305,87.93840336
"Forest Rest House, Manguraha - BSPCB",Bihar,Manguraha,27.308328,84.531742
"Gandak Colony, Motihari - BSPCB",Bihar,Motihari,26.63086,84.90051
"Town Hall, Munger - BSPCB",Bihar,Munger,25.376776,86.471523
"Buddha Colony, Muzaffarpur - BSPCB",Bihar,Muzaffarpur,26.11442,85.39813
"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",Bihar,Muzaffarpur,26.1403345,85.3650192
"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Bihar,Muzaffarpur,26.1209,85.3647
"DRM Office Danapur, Patna - BSPCB",Bihar,Patna,25.586562,85.043586
"Govt. High School Shikarpur, Patna - BSPCB",Bihar,Patna,25.592539,85.227158
"IGSC Planetarium Complex, Patna - BSPCB",Bihar,Patna,25.610369,85.132568
"Muradpur, Patna - BSPCB",Bihar,Patna,25.619651,85.147382
"Rajbansi Nagar, Patna - BSPCB",Bihar,Patna,25.599486,85.113666
