country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","11-02-2026 10:00:00",14.465052,78.824187,OZONE,14,16,14
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","11-02-2026 10:00:00",16.9872867,81.7363176,NO2,14,44,26
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","11-02-2026 10:00:00",16.9872867,81.7363176,NH3,4,6,6
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","11-02-2026 10:00:00",16.9872867,81.7363176,OZONE,14,33,18
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","11-02-2026 10:00:00",13.67,79.35,PM10,72,102,89
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","11-02-2026 10:00:00",13.67,79.35,SO2,4,12,8
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","11-02-2026 10:00:00",13.67,79.35,CO,18,32,24
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","11-02-2026 10:00:00",13.67,79.35,OZONE,40,82,66
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","11-02-2026 10:00:00",13.615387,79.409230,OZONE,18,20,19
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","11-02-2026 10:00:00",16.536107,80.594233,OZONE,2,2,2
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","11-02-2026 10:00:00",16.486692,80.699436,SO2,18,22,20
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","11-02-2026 10:00:00",16.509717,80.612222,SO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","11-02-2026 10:00:00",16.509717,80.612222,OZONE,6,46,12
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","11-02-2026 10:00:00",17.72,83.3,NH3,3,4,3
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","11-02-2026 10:00:00",27.103358,93.679645,NH3,1,1,1
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","11-02-2026 10:00:00",27.103358,93.679645,SO2,9,10,10
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","11-02-2026 10:00:00",27.103358,93.679645,OZONE,5,6,6
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","11-02-2026 10:00:00",26.071318,91.87488,NO2,4,10,8
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","11-02-2026 10:00:00",26.071318,91.87488,SO2,11,32,31
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","11-02-2026 10:00:00",26.10887,91.589544,NH3,4,6,5
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","11-02-2026 10:00:00",24.792403,84.992416,NH3,1,2,1
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","11-02-2026 10:00:00",24.762518,84.982348,NH3,2,7,4
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","11-02-2026 10:00:00",24.762518,84.982348,OZONE,7,29,8
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","11-02-2026 10:00:00",25.697189,85.245900,PM10,73,148,120
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","11-02-2026 10:00:00",25.697189,85.245900,NH3,7,21,15
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","11-02-2026 10:00:00",25.560083,87.553265,PM2.5,48,157,79
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","11-02-2026 10:00:00",25.560083,87.553265,CO,79,98,83
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","11-02-2026 10:00:00",26.0881305,87.93840336,PM10,41,77,57
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","11-02-2026 10:00:00",26.987634,94.636574,PM10,30,98,47
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","11-02-2026 10:00:00",26.987634,94.636574,NH3,5,36,13
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","11-02-2026 10:00:00",26.146529,87.454184,CO,24,100,63
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","11-02-2026 10:00:00",25.5626095,84.663264,PM10,24,71,49
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","11-02-2026 10:00:00",25.5626095,84.663264,NH3,1,1,1
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","11-02-2026 10:00:00",24.75746,84.366208,PM10,62,118,85
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","11-02-2026 10:00:00",26.80365,84.51954,PM2.5,55,147,84
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","11-02-2026 10:00:00",26.187500,91.744194,NH3,1,1,1
